Decessi,Infetti,Guariti
43,43,34
43,43,34
23,32,32
23,32,32
23,32,32
23,32,32
23,32,32
23,32,32
23,32,32
23,32,32
23,32,32
23,32,32
23,32,32
23,32,32
23,32,32
23,32,32
23,32,32
23,32,32
23,32,32
23,32,32
23,32,32
23,32,32
23,32,32
23,32,32
23,32,32
23,32,32
23,32,32
23,32,32
23,32,32
23,32,32
23,32,32
23,32,32
23,32,32
23,32,32
23,32,32
23,32,32
23,32,32
23,32,32
23,32,32
23,32,32
23,32,32
23,32,32
23,32,32
23,32,32
23,32,32
23,32,32
23,32,32
23,32,32
23,32,32
23,32,32
23,32,32
23,32,32
23,32,32
23,32,32
23,32,32
23,32,32
23,32,32
23,32,32
23,32,32
23,32,32
23,32,32
23,32,32
23,32,32
23,32,32
23,32,32
23,32,32
23,23,43434
23,23,43434
23,23,43434
23,23,43434
23,23,43434
23,23,43434
455,3453,4545
455,3453,4545
455,3453,4545
